ï»¿ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US00183L1026,,,,,,,,Pure Play,,,,,,
US03783C1009,,,,,,,,Pure Play,,,,,,
US10316T1043,,,,,,,,Pure Play,,,,,,
US1417881091,,,,,,,,Pure Play,,,,,,
US14575E1055,,,,,,,,Pure Play,,,,,,
US1630921096,,,,,,,,Pure Play,,,,,,
US2172041061,,,,,,,,Pure Play,,,,,,
US1416331072,,,,,,,,Pure Play,,,,,,
US21925Y1038,,,,,,,,Pure Play,,,,,,
US26210C1045,,,,,,,,Pure Play,,,,,,
US2786421030,,,,,,,,Pure Play,,,,,,
US2829141009,,,,,,,,Pure Play,,,,,,
US29786A1060,,,,,,,,Pure Play,,,,,,
US30303M1027,,,,,,,,Pure Play,,,,,,
US3994731079,,,,,,,,Pure Play,,,,,,
US4001101025,,,,,,,,Pure Play,,,,,,
US4612021034,,,,,,,,Pure Play,,,,,,
US46267X1081,,,,,,,,Pure Play,,,,,,
US48238T1097,,,,,,,,Pure Play,,,,,,
US52603A2087,,,,,,,,Pure Play,,,,,,
US53567X1019,,,,,,,,Pure Play,,,,,,
US58733R1023,,,,,,,,Pure Play,,,,,,
US5949181045,,,,,,,,Pure Play,,,,,,
US57665R1068,,,,,,,,Pure Play,,,,,,
US64110L1061,,,,,,,,Pure Play,,,,,,
US70450Y1038,,,,,,,,Pure Play,,,,,,
CA7677441056,,,,,,,,Pure Play,,,,,,
US75606N1090,,,,,,,,Pure Play,,,,,,
US83304A1060,,,,,,,,Pure Play,,,,,,
LU1778762911,,,,,,,,Pure Play,,,,,,
US8522341036,,,,,,,,Pure Play,,,,,,
US8256901005,,,,,,,,Pure Play,,,,,,
US88034P1093,,,,,,,,Pure Play,,,,,,
US8969452015,,,,,,,,Pure Play,,,,,,
US90214J1016,,,,,,,,Pure Play,,,,,,
US90184L1026,,,,,,,,Pure Play,,,,,,
US92826C8394,,,,,,,,Pure Play,,,,,,
US9307521008,,,,,,,,Pure Play,,,,,,
US9858171054,,,,,,,,Pure Play,,,,,,
US98954M2008,,,,,,,,Pure Play,,,,,,
US48138M1053,,,,,,,,Pure Play,,,,,,
US90353T1007,,,,,,,,Pure Play,,,,,,
US55087P1049,,,,,,,,Pure Play,,,,,,
US83356Q1085,,,,,,,,Pure Play,,,,,,
US72352L1061,,,,,,,,Pure Play,,,,,,
US98980L1017,,,,,,,,Pure Play,,,,,,
US09857L1089,,,,,,,,Quasi Play,,,,,,
US0537741052,,,,,,,,Quasi Play,,,,,,
US0231351067,,,,,,,,Marginal Play,,,,,,
US01609W1027,,,,,,,,Marginal Play,,,,,,
US30212P3038,,,,,,,,Marginal Play,,,,,,
US3453708600,,,,,,,,Marginal Play,,,,,,
US37045V1008,,,,,,,,Marginal Play,,,,,,
US02079K3059,,,,,,,,Marginal Play,,,,,,
US42806J1060,,,,,,,,Marginal Play,,,,,,
US7495271071,,,,,,,,Marginal Play,,,,,,
US8851601018,,,,,,,,Marginal Play,,,,,,
NL0009805522,,,,,,,,Marginal Play,,,,,,
