ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
KR7005930003,228638.0457,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US4581401001,204649.7607,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US17275R1023,188155.9992,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US4592001014,100821.6093,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US11135F1012,99744.74114,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US03027X1000,69597.10504,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US7475251036,66487.13672000001,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
JP3435000009,60516.034289999996,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US22822V1017,44057.06938,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US2538681030,43771.45386,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
KYG9830T1067,39442.42458,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US5951121038,33990.14461,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
FI0009000681,32162.79874,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
SE0000108656,28893.03351,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US29444U7000,28161.420489999997,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
JP3902400005,23657.08448,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
DE0006231004,22100.56816,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
NL0009538784,20785.61059,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US9839191015,20625.53541,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
INE860A01027,19055.45279,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US78410G1040,18334.203690000002,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US42824C1099,17637.328830000002,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US0079031078,16919.96052,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
JP3818000006,12611.20613,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
TW0002454006,11549.51037,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US83088M1027,11449.03815,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US49338L1035,10719.98756,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
INE669C01036,9753.06312,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
KR7066570003,9493.49355,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US3156161024,9374.146270000001,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US48203R1041,9053.38904,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
HK0992009065,8070.518440000001,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
JP3733000008,7734.045529999999,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US74736K1016,7204.52037,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US4581181066,6231.10044,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US23283R1005,5697.04439,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US1717793095,4962.04391,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US21870Q1058,3149.50828,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US20337X1090,2966.00106,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US8168501018,2763.97792,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
US9255501051,2172.29324,,5G Infrastructure & Hardware,,,,,,,,,,,,1.7163504968383017
JP3128800004,1873.5574,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
US74736A1034,1855.74027,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
TW0003105003,1644.45166,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
US64111Q1040,1496.93828,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
US00401C1080,1476.97841,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
IL0010823792,1415.09207,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
CH0030380734,1290.66309,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
TW0006285000,946.1942,,5G Infrastructure & Hardware,,,,,,,,,,,,0.7407407407407407
